Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,ALB,Albania,2010,All,Age_all,[All],12139.00000000,100.00000000,346.63272510,416.71401143,
EU,Europe,ALB,Albania,2010,Male,Age_all,[All],6551.00000000,100.00000000,413.14018789,449.41708183,
EU,Europe,ALB,Albania,2010,Female,Age_all,[All],5588.00000000,100.00000000,285.38498512,383.95919094,
AS,Asia,AZE,Azerbaijan,2007,All,Age_all,[All],50439.00000000,100.00000000,730.11141312,587.77807558,
AS,Asia,AZE,Azerbaijan,2007,Male,Age_all,[All],26517.00000000,100.00000000,860.93902569,626.64980917,
AS,Asia,AZE,Azerbaijan,2007,Female,Age_all,[All],23922.00000000,100.00000000,614.68308158,549.96264153,
AS,Asia,BHR,Bahrain,2014,All,Age_all,[All],2695.00000000,100.00000000,392.46359650,205.01125090,
AS,Asia,BHR,Bahrain,2014,Male,Age_all,[All],1638.00000000,100.00000000,393.96130165,203.10308784,
AS,Asia,BHR,Bahrain,2014,Female,Age_all,[All],1057.00000000,100.00000000,384.42525733,208.04015155,
NAC,North America and the Caribbean,BRB,Barbados,2013,All,Age_all,[All],2489.00000000,100.00000000,509.50604616,875.49596196,
NAC,North America and the Caribbean,BRB,Barbados,2013,Male,Age_all,[All],1216.00000000,100.00000000,595.20049773,889.09036404,
NAC,North America and the Caribbean,BRB,Barbados,2013,Female,Age_all,[All],1272.00000000,100.00000000,436.86946127,862.22674123,
NAC,North America and the Caribbean,BRB,Barbados,2013,Unknown,Age_all,[All],1.00000000,100.00000000,,,
AF,Africa,CPV,Cabo Verde,2011,All,Age_all,[All],2521.00000000,100.00000000,742.71081840,505.35524208,
AF,Africa,CPV,Cabo Verde,2011,Male,Age_all,[All],1483.00000000,100.00000000,1029.40090260,593.75337815,
AF,Africa,CPV,Cabo Verde,2011,Female,Age_all,[All],1038.00000000,100.00000000,532.21107317,416.71517638,
OA,Oceania,FJI,Fiji,2012,All,Age_all,[All],6766.00000000,100.00000000,1141.95044650,782.13414190,
OA,Oceania,FJI,Fiji,2012,Male,Age_all,[All],3757.00000000,100.00000000,1282.23209740,852.00858132,
OA,Oceania,FJI,Fiji,2012,Female,Age_all,[All],3009.00000000,100.00000000,1012.91634670,709.49076530,
NAC,North America and the Caribbean,JAM,Jamaica,2014,All,Age_all,[All],18320.00000000,100.00000000,582.86943230,637.18658472,
NAC,North America and the Caribbean,JAM,Jamaica,2014,Male,Age_all,[All],9514.00000000,100.00000000,644.93841476,665.68430303,
NAC,North America and the Caribbean,JAM,Jamaica,2014,Female,Age_all,[All],8806.00000000,100.00000000,525.59507249,609.01937921,
AF,Africa,STP,Sao Tome and Principe,1987,All,Age_all,[All],1006.00000000,100.00000000,1071.79794120,897.41302409,
AF,Africa,STP,Sao Tome and Principe,1987,Male,Age_all,[All],530.00000000,100.00000000,1316.92554730,949.82078853,
AF,Africa,STP,Sao Tome and Principe,1987,Female,Age_all,[All],476.00000000,100.00000000,899.83896813,845.47069272,
CSA,Central and South America,SUR,Suriname,2014,All,Age_all,[All],3150.00000000,100.00000000,659.90909300,569.33918698,
CSA,Central and South America,SUR,Suriname,2014,Male,Age_all,[All],1792.00000000,100.00000000,828.83865646,643.62036455,
CSA,Central and South America,SUR,Suriname,2014,Female,Age_all,[All],1356.00000000,100.00000000,520.26292313,493.35462957,
CSA,Central and South America,SUR,Suriname,2014,Unknown,Age_all,[All],2.00000000,100.00000000,,,
AS,Asia,SYR,Syria,2010,All,Age_all,[All],67024.00000000,100.00000000,631.46671074,313.74562441,
AS,Asia,SYR,Syria,2010,Male,Age_all,[All],38220.00000000,100.00000000,726.71632523,354.37944191,
AS,Asia,SYR,Syria,2010,Female,Age_all,[All],28804.00000000,100.00000000,540.70778411,272.31410549,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,All,Age_all,[All],9616.00000000,100.00000000,663.41693858,715.04046269,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Male,Age_all,[All],5429.00000000,100.00000000,839.99448332,815.59868158,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Female,Age_all,[All],4185.00000000,100.00000000,519.80143621,616.19510931,
NAC,North America and the Caribbean,TTO,Trinidad and Tobago,2012,Unknown,Age_all,[All],2.00000000,100.00000000,,,
AS,Asia,ARE,United Arab Emirates,2020,All,Age_all,[All],10357.00000000,100.00000000,367.03810937,104.71768488,
AS,Asia,ARE,United Arab Emirates,2020,Male,Age_all,[All],7680.00000000,100.00000000,345.10306999,112.34066605,
AS,Asia,ARE,United Arab Emirates,2020,Female,Age_all,[All],2676.00000000,100.00000000,404.30821189,87.62132656,
AS,Asia,ARE,United Arab Emirates,2020,Unknown,Age_all,[All],1.00000000,100.00000000,,,
EU,Europe,AUT,Austria,2021,All,Age_all,[All],91962.00000000,100.00000000,398.99533484,1027.33390530,
EU,Europe,AUT,Austria,2021,Male,Age_all,[All],46010.00000000,100.00000000,498.39149433,1043.68032400,
EU,Europe,AUT,Austria,2021,Female,Age_all,[All],45952.00000000,100.00000000,314.29043679,1011.47194790,
EU,Europe,BLR,Belarus,2018,All,Age_all,[All],120053.00000000,100.00000000,698.89305831,1265.91461650,
EU,Europe,BLR,Belarus,2018,Male,Age_all,[All],59830.00000000,100.00000000,1041.99143280,1354.03653610,
EU,Europe,BLR,Belarus,2018,Female,Age_all,[All],60223.00000000,100.00000000,474.85597344,1189.03606200,
CSA,Central and South America,BLZ,Belize,2016,All,Age_all,[All],1802.00000000,100.00000000,677.16955794,489.14223670,
CSA,Central and South America,BLZ,Belize,2016,Male,Age_all,[All],1126.00000000,100.00000000,822.84959597,612.78244591,
CSA,Central and South America,BLZ,Belize,2016,Female,Age_all,[All],676.00000000,100.00000000,531.04489340,366.10397136,
CSA,Central and South America,BRA,Brazil,2020,All,Age_all,[All],1556824.00000000,100.00000000,631.97743293,732.41826778,
CSA,Central and South America,BRA,Brazil,2020,Male,Age_all,[All],874167.00000000,100.00000000,813.23592649,837.03781873,
CSA,Central and South America,BRA,Brazil,2020,Female,Age_all,[All],682027.00000000,100.00000000,481.60243343,630.78443189,
CSA,Central and South America,BRA,Brazil,2020,Unknown,Age_all,[All],630.00000000,100.00000000,,,
AS,Asia,BRN,Brunei,2019,All,Age_all,[All],1757.00000000,100.00000000,568.83245303,405.50676806,
AS,Asia,BRN,Brunei,2019,Male,Age_all,[All],963.00000000,100.00000000,597.32971080,428.03424274,
AS,Asia,BRN,Brunei,2019,Female,Age_all,[All],794.00000000,100.00000000,538.14781185,381.15537122,
CSA,Central and South America,CRI,Costa Rica,2020,All,Age_all,[All],25996.00000000,100.00000000,406.94252337,510.31405240,
CSA,Central and South America,CRI,Costa Rica,2020,Male,Age_all,[All],14951.00000000,100.00000000,509.65976787,587.44807621,
CSA,Central and South America,CRI,Costa Rica,2020,Female,Age_all,[All],11045.00000000,100.00000000,314.37843400,433.30071972,
EU,Europe,CZE,Czech Republic,2021,All,Age_all,[All],139891.00000000,100.00000000,583.57467729,1332.18739440,
EU,Europe,CZE,Czech Republic,2021,Male,Age_all,[All],73522.00000000,100.00000000,768.36476577,1421.00164750,
EU,Europe,CZE,Czech Republic,2021,Female,Age_all,[All],66369.00000000,100.00000000,436.57057091,1245.92304630,
EU,Europe,DEU,Germany,2020,All,Age_all,[All],985572.00000000,100.00000000,406.03550768,1185.13910230,
EU,Europe,DEU,Germany,2020,Male,Age_all,[All],492797.00000000,100.00000000,504.10463667,1201.00459970,
EU,Europe,DEU,Germany,2020,Female,Age_all,[All],492775.00000000,100.00000000,321.49954821,1169.68663130,
NAC,North America and the Caribbean,DMA,Dominica,2020,All,Age_all,[All],700.00000000,100.00000000,,,
NAC,North America and the Caribbean,DMA,Dominica,2020,Male,Age_all,[All],400.00000000,100.00000000,,,
NAC,North America and the Caribbean,DMA,Dominica,2020,Female,Age_all,[All],298.00000000,100.00000000,,,
NAC,North America and the Caribbean,DMA,Dominica,2020,Unknown,Age_all,[All],2.00000000,100.00000000,,,
NAC,North America and the Caribbean,DOM,Dominican Republic,2018,All,Age_all,[All],46260.00000000,100.00000000,457.45588479,435.30051968,
NAC,North America and the Caribbean,DOM,Dominican Republic,2018,Male,Age_all,[All],27314.00000000,100.00000000,564.95790322,514.12217225,
NAC,North America and the Caribbean,DOM,Dominican Republic,2018,Female,Age_all,[All],18942.00000000,100.00000000,355.76716752,356.42768462,
NAC,North America and the Caribbean,DOM,Dominican Republic,2018,Unknown,Age_all,[All],4.00000000,100.00000000,,,
CSA,Central and South America,ECU,Ecuador,2021,All,Age_all,[All],105248.00000000,100.00000000,590.48470496,588.35646974,
CSA,Central and South America,ECU,Ecuador,2021,Male,Age_all,[All],60008.00000000,100.00000000,726.57005583,670.84202703,
CSA,Central and South America,ECU,Ecuador,2021,Female,Age_all,[All],45240.00000000,100.00000000,467.59825049,505.85365712,
AF,Africa,EGY,Egypt,2019,All,Age_all,[All],570580.00000000,100.00000000,814.96032543,568.37429283,
AF,Africa,EGY,Egypt,2019,Male,Age_all,[All],312105.00000000,100.00000000,960.85299202,615.31744460,
AF,Africa,EGY,Egypt,2019,Female,Age_all,[All],258475.00000000,100.00000000,689.03128717,520.43192900,
EU,Europe,ESP,Spain,2021,All,Age_all,[All],450744.00000000,100.00000000,335.18420276,952.31690537,
EU,Europe,ESP,Spain,2021,Male,Age_all,[All],231410.00000000,100.00000000,438.14393383,997.83211584,
EU,Europe,ESP,Spain,2021,Female,Age_all,[All],219334.00000000,100.00000000,249.29349991,908.59053306,
EU,Europe,GBR,United Kingdom,2020,All,Age_all,[All],688806.00000000,100.00000000,431.28954337,1026.86501770,
EU,Europe,GBR,United Kingdom,2020,Male,Age_all,[All],348435.00000000,100.00000000,513.41739644,1051.29210860,
EU,Europe,GBR,United Kingdom,2020,Female,Age_all,[All],340371.00000000,100.00000000,358.86230376,1003.00768820,
AS,Asia,GEO,Georgia,2021,All,Age_all,[All],59906.00000000,100.00000000,941.62039209,1615.32218270,
AS,Asia,GEO,Georgia,2021,Male,Age_all,[All],30156.00000000,100.00000000,1261.87153940,1691.20339810,
AS,Asia,GEO,Georgia,2021,Female,Age_all,[All],29750.00000000,100.00000000,710.75287702,1545.05243050,
EU,Europe,GRC,Greece,2020,All,Age_all,[All],131084.00000000,100.00000000,397.04162419,1225.24568430,
EU,Europe,GRC,Greece,2020,Male,Age_all,[All],66209.00000000,100.00000000,497.17632729,1271.84290150,
EU,Europe,GRC,Greece,2020,Female,Age_all,[All],64868.00000000,100.00000000,309.14621087,1180.95643120,
EU,Europe,GRC,Greece,2020,Unknown,Age_all,[All],7.00000000,100.00000000,,,
NAC,North America and the Caribbean,GRD,Grenada,2021,All,Age_all,[All],1275.00000000,100.00000000,929.17631801,1128.10893550,
NAC,North America and the Caribbean,GRD,Grenada,2021,Male,Age_all,[All],720.00000000,100.00000000,1176.23328530,1265.33338020,
NAC,North America and the Caribbean,GRD,Grenada,2021,Female,Age_all,[All],555.00000000,100.00000000,713.30005965,989.07561528,
CSA,Central and South America,GUY,Guyana,2019,All,Age_all,[All],4976.00000000,100.00000000,709.32411651,635.69444764,
CSA,Central and South America,GUY,Guyana,2019,Male,Age_all,[All],2871.00000000,100.00000000,850.99213377,730.03094558,
CSA,Central and South America,GUY,Guyana,2019,Female,Age_all,[All],2099.00000000,100.00000000,572.55908637,538.89048636,
CSA,Central and South America,GUY,Guyana,2019,Unknown,Age_all,[All],6.00000000,100.00000000,,,
AS,Asia,HKG,China,2017,All,Age_all,[All],45883.00000000,100.00000000,276.20693948,620.73677233,
AS,Asia,HKG,China,2017,Male,Age_all,[All],25408.00000000,100.00000000,361.83761655,748.94620486,
AS,Asia,HKG,China,2017,Female,Age_all,[All],20471.00000000,100.00000000,203.36379935,511.87737548,
AS,Asia,HKG,China,2017,Unknown,Age_all,[All],4.00000000,100.00000000,,,
AS,Asia,IRQ,Iraq,2016,All,Age_all,[All],112830.00000000,100.00000000,561.53362869,308.18916210,
AS,Asia,IRQ,Iraq,2016,Male,Age_all,[All],64607.00000000,100.00000000,662.54469461,348.98245635,
AS,Asia,IRQ,Iraq,2016,Female,Age_all,[All],48223.00000000,100.00000000,474.49928841,266.45975970,
AS,Asia,ISR,Israel,2020,All,Age_all,[All],48797.00000000,100.00000000,342.66693583,529.53206110,
AS,Asia,ISR,Israel,2020,Male,Age_all,[All],24920.00000000,100.00000000,418.12213194,544.63053166,
AS,Asia,ISR,Israel,2020,Female,Age_all,[All],23877.00000000,100.00000000,278.13082842,514.64173352,
AS,Asia,JOR,Jordan,2018,All,Age_all,[All],16087.00000000,100.00000000,302.55711671,161.42987108,
AS,Asia,JOR,Jordan,2018,Male,Age_all,[All],9097.00000000,100.00000000,354.71185006,180.37145376,
AS,Asia,JOR,Jordan,2018,Female,Age_all,[All],6990.00000000,100.00000000,255.12630297,142.02002868,
AS,Asia,KAZ,Kazakhstan,2021,All,Age_all,[All],182403.00000000,100.00000000,984.89661731,959.87332406,
AS,Asia,KAZ,Kazakhstan,2021,Male,Age_all,[All],94836.00000000,100.00000000,1305.76741140,1028.07821270,
AS,Asia,KAZ,Kazakhstan,2021,Female,Age_all,[All],87567.00000000,100.00000000,765.00717084,895.53017264,
AS,Asia,KGZ,Kyrgyzstan,2019,All,Age_all,[All],33295.00000000,100.00000000,710.23079515,515.68067293,
AS,Asia,KGZ,Kyrgyzstan,2019,Male,Age_all,[All],18722.00000000,100.00000000,922.31518934,584.40139592,
AS,Asia,KGZ,Kyrgyzstan,2019,Female,Age_all,[All],14573.00000000,100.00000000,545.92530654,448.00093455,
NAC,North America and the Caribbean,KNA,Saint Kitts and Nevis,2016,All,Age_all,[All],401.00000000,100.00000000,,,
NAC,North America and the Caribbean,KNA,Saint Kitts and Nevis,2016,Male,Age_all,[All],243.00000000,100.00000000,,,
NAC,North America and the Caribbean,KNA,Saint Kitts and Nevis,2016,Female,Age_all,[All],158.00000000,100.00000000,,,
AS,Asia,KWT,Kuwait,2019,All,Age_all,[All],7306.00000000,100.00000000,379.81263683,157.08419399,
AS,Asia,KWT,Kuwait,2019,Male,Age_all,[All],4650.00000000,100.00000000,401.20915127,157.99581124,
AS,Asia,KWT,Kuwait,2019,Female,Age_all,[All],2656.00000000,100.00000000,349.69305192,155.51325522,
AS,Asia,LBN,Lebanon,2021,All,Age_all,[All],27579.00000000,100.00000000,415.00794894,407.42214749,
AS,Asia,LBN,Lebanon,2021,Male,Age_all,[All],15668.00000000,100.00000000,505.15102980,459.51930550,
AS,Asia,LBN,Lebanon,2021,Female,Age_all,[All],11911.00000000,100.00000000,337.63944294,354.54670203,
NAC,North America and the Caribbean,LCA,Saint Lucia,2020,All,Age_all,[All],1273.00000000,100.00000000,544.98363181,693.25317083,
NAC,North America and the Caribbean,LCA,Saint Lucia,2020,Male,Age_all,[All],714.00000000,100.00000000,642.56999535,789.63084205,
NAC,North America and the Caribbean,LCA,Saint Lucia,2020,Female,Age_all,[All],558.00000000,100.00000000,453.42039224,598.66748206,
NAC,North America and the Caribbean,LCA,Saint Lucia,2020,Unknown,Age_all,[All],1.00000000,100.00000000,,,
EU,Europe,LVA,Latvia,2021,All,Age_all,[All],34231.00000000,100.00000000,763.82893504,1816.45962570,
EU,Europe,LVA,Latvia,2021,Male,Age_all,[All],15968.00000000,100.00000000,1094.94412140,1830.89660960,
EU,Europe,LVA,Latvia,2021,Female,Age_all,[All],18263.00000000,100.00000000,535.51846785,1804.02213070,
EU,Europe,MDA,Moldova,2018,All,Age_all,[All],37200.00000000,100.00000000,750.58446433,1049.32859890,
EU,Europe,MDA,Moldova,2018,Male,Age_all,[All],19720.00000000,100.00000000,990.18678173,1157.35102770,
EU,Europe,MDA,Moldova,2018,Female,Age_all,[All],17480.00000000,100.00000000,565.53886314,949.36382305,
AS,Asia,MDV,Maldives,2019,All,Age_all,[All],1132.00000000,100.00000000,384.18988797,213.20154515,
AS,Asia,MDV,Maldives,2019,Male,Age_all,[All],714.00000000,100.00000000,447.59689796,212.45573839,
AS,Asia,MDV,Maldives,2019,Female,Age_all,[All],417.00000000,100.00000000,313.27187327,213.97014680,
AS,Asia,MDV,Maldives,2019,Unknown,Age_all,[All],1.00000000,100.00000000,,,
EU,Europe,MKD,North Macedonia,2021,All,Age_all,[All],28516.00000000,100.00000000,848.97496156,1552.55611520,
EU,Europe,MKD,North Macedonia,2021,Male,Age_all,[All],15155.00000000,100.00000000,1002.12116270,1663.39767770,
EU,Europe,MKD,North Macedonia,2021,Female,Age_all,[All],13361.00000000,100.00000000,712.87842027,1443.45556410,
EU,Europe,MNE,Montenegro,2019,All,Age_all,[All],5069.00000000,100.00000000,473.10125836,814.91508421,
EU,Europe,MNE,Montenegro,2019,Male,Age_all,[All],2657.00000000,100.00000000,572.84673820,863.68866900,
EU,Europe,MNE,Montenegro,2019,Female,Age_all,[All],2412.00000000,100.00000000,388.39016599,767.19021355,
AS,Asia,MNG,Mongolia,2021,All,Age_all,[All],19931.00000000,100.00000000,855.53651005,607.13803762,
AS,Asia,MNG,Mongolia,2021,Male,Age_all,[All],11757.00000000,100.00000000,1144.66020630,726.74135592,
AS,Asia,MNG,Mongolia,2021,Female,Age_all,[All],8174.00000000,100.00000000,635.72924603,490.92812984,
AS,Asia,MYS,Malaysia,2020,All,Age_all,[All],109155.00000000,100.00000000,371.85438021,337.25206505,
AS,Asia,MYS,Malaysia,2020,Male,Age_all,[All],65918.00000000,100.00000000,442.55743607,396.36065898,
AS,Asia,MYS,Malaysia,2020,Female,Age_all,[All],43237.00000000,100.00000000,301.10707097,274.77910174,
EU,Europe,NOR,Norway,2016,All,Age_all,[All],40609.00000000,100.00000000,355.73964438,775.55059050,
EU,Europe,NOR,Norway,2016,Male,Age_all,[All],19623.00000000,100.00000000,420.52536263,744.10706678,
EU,Europe,NOR,Norway,2016,Female,Age_all,[All],20986.00000000,100.00000000,300.04744844,807.45493368,
OA,Oceania,NZL,New Zealand,2016,All,Age_all,[All],31398.00000000,100.00000000,364.21827279,669.08033951,
OA,Oceania,NZL,New Zealand,2016,Male,Age_all,[All],15898.00000000,100.00000000,425.24282001,688.58579602,
OA,Oceania,NZL,New Zealand,2016,Female,Age_all,[All],15500.00000000,100.00000000,309.83949811,650.18960368,
AS,Asia,OMN,Oman,2021,All,Age_all,[All],12546.00000000,100.00000000,602.16899747,277.10987608,
AS,Asia,OMN,Oman,2021,Male,Age_all,[All],7799.00000000,100.00000000,679.20816540,282.45436510,
AS,Asia,OMN,Oman,2021,Female,Age_all,[All],4747.00000000,100.00000000,514.01438741,268.75510957,
CSA,Central and South America,PER,Peru,2020,All,Age_all,[All],233997.00000000,100.00000000,663.72686271,709.68711678,
CSA,Central and South America,PER,Peru,2020,Male,Age_all,[All],139731.00000000,100.00000000,846.37761885,853.13121275,
CSA,Central and South America,PER,Peru,2020,Female,Age_all,[All],94266.00000000,100.00000000,499.48664983,568.09881614,
AS,Asia,PHL,Philippines,2019,All,Age_all,[All],620414.00000000,100.00000000,783.36828951,578.26889549,
AS,Asia,PHL,Philippines,2019,Male,Age_all,[All],354486.00000000,100.00000000,980.17253474,654.01746323,
AS,Asia,PHL,Philippines,2019,Female,Age_all,[All],265928.00000000,100.00000000,614.98971148,500.93012685,
EU,Europe,PRT,Portugal,2019,All,Age_all,[All],112334.00000000,100.00000000,379.13438651,1098.49350500,
EU,Europe,PRT,Portugal,2019,Male,Age_all,[All],56214.00000000,100.00000000,499.21913725,1162.24496420,
EU,Europe,PRT,Portugal,2019,Female,Age_all,[All],56120.00000000,100.00000000,283.83088468,1041.28320530,
AS,Asia,QAT,Qatar,2021,All,Age_all,[All],2741.00000000,100.00000000,296.99313644,93.53263303,
AS,Asia,QAT,Qatar,2021,Male,Age_all,[All],1980.00000000,100.00000000,299.22141472,90.13680308,
AS,Asia,QAT,Qatar,2021,Female,Age_all,[All],761.00000000,100.00000000,308.96604922,103.69782916,
EU,Europe,ROU,Romania,2019,All,Age_all,[All],259889.00000000,100.00000000,638.27665822,1341.30477470,
EU,Europe,ROU,Romania,2019,Male,Age_all,[All],136245.00000000,100.00000000,840.95540601,1436.78024550,
EU,Europe,ROU,Romania,2019,Female,Age_all,[All],123644.00000000,100.00000000,468.53282292,1249.79101750,
EU,Europe,RUS,Russia,2019,All,Age_all,[All],1798307.00000000,100.00000000,725.04669054,1225.29978350,
EU,Europe,RUS,Russia,2019,Male,Age_all,[All],898506.00000000,100.00000000,1023.74512710,1319.20323650,
EU,Europe,RUS,Russia,2019,Female,Age_all,[All],899801.00000000,100.00000000,513.18597714,1143.98584180,
