Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CSA,Central and South America,SLV,El Salvador,2018,All,Age_all,[All],37469.00000000,100.00000000,577.12705479,583.56147401,
CSA,Central and South America,SLV,El Salvador,2018,Male,Age_all,[All],21491.00000000,100.00000000,778.43928260,713.88520171,
CSA,Central and South America,SLV,El Salvador,2018,Female,Age_all,[All],15978.00000000,100.00000000,421.69743196,468.52018232,
EU,Europe,SVN,Slovenia,2020,All,Age_all,[All],24016.00000000,100.00000000,431.23368983,1143.55043460,
EU,Europe,SVN,Slovenia,2020,Male,Age_all,[All],11733.00000000,100.00000000,555.53174142,1112.67796640,
EU,Europe,SVN,Slovenia,2020,Female,Age_all,[All],12283.00000000,100.00000000,327.01968121,1174.68390260,
AF,Africa,SYC,Seychelles,2021,All,Age_all,[All],925.00000000,100.00000000,805.85977635,931.91480787,
AF,Africa,SYC,Seychelles,2021,Male,Age_all,[All],481.00000000,100.00000000,985.34369110,954.11897725,
AF,Africa,SYC,Seychelles,2021,Female,Age_all,[All],444.00000000,100.00000000,669.02679970,908.99785034,
AS,Asia,THA,Thailand,2019,All,Age_all,[All],494339.00000000,100.00000000,544.40525535,754.05920467,
AS,Asia,THA,Thailand,2019,Male,Age_all,[All],279924.00000000,100.00000000,695.74537606,872.17478467,
AS,Asia,THA,Thailand,2019,Female,Age_all,[All],214415.00000000,100.00000000,409.22343370,640.76949598,
AS,Asia,TJK,Tajikistan,2017,All,Age_all,[All],32024.00000000,100.00000000,710.32950039,370.34908269,
AS,Asia,TJK,Tajikistan,2017,Male,Age_all,[All],17894.00000000,100.00000000,816.45976176,408.59982290,
AS,Asia,TJK,Tajikistan,2017,Female,Age_all,[All],14130.00000000,100.00000000,611.32963712,331.09704190,
AS,Asia,TKM,Turkmenistan,2015,All,Age_all,[All],32247.00000000,100.00000000,808.94729519,579.43103384,
AS,Asia,TKM,Turkmenistan,2015,Male,Age_all,[All],18112.00000000,100.00000000,1004.26428740,661.00501082,
AS,Asia,TKM,Turkmenistan,2015,Female,Age_all,[All],14135.00000000,100.00000000,651.66436320,500.31625934,
AS,Asia,TUR,Turkey,2019,All,Age_all,[All],435941.00000000,100.00000000,477.53849187,527.90500880,
AS,Asia,TUR,Turkey,2019,Male,Age_all,[All],238044.00000000,100.00000000,597.89459440,574.56141431,
AS,Asia,TUR,Turkey,2019,Female,Age_all,[All],197897.00000000,100.00000000,375.87121867,480.92922670,
EU,Europe,UKR,Ukraine,2019,All,Age_all,[All],581114.00000000,100.00000000,741.61708232,1388.29282850,
EU,Europe,UKR,Ukraine,2019,Male,Age_all,[All],287513.00000000,100.00000000,1046.97332180,1482.07497200,
EU,Europe,UKR,Ukraine,2019,Female,Age_all,[All],293601.00000000,100.00000000,524.10381049,1307.28619000,
CSA,Central and South America,URY,Uruguay,2020,All,Age_all,[All],32637.00000000,100.00000000,509.39859348,939.53761519,
CSA,Central and South America,URY,Uruguay,2020,Male,Age_all,[All],16339.00000000,100.00000000,687.45937521,973.52377593,
CSA,Central and South America,URY,Uruguay,2020,Female,Age_all,[All],16298.00000000,100.00000000,382.33607144,907.76883698,
AS,Asia,UZB,Uzbekistan,2019,All,Age_all,[All],154569.00000000,100.00000000,659.10656294,460.29542837,
AS,Asia,UZB,Uzbekistan,2019,Male,Age_all,[All],84264.00000000,100.00000000,778.23605899,499.25544793,
AS,Asia,UZB,Uzbekistan,2019,Female,Age_all,[All],70305.00000000,100.00000000,558.13414265,420.92609489,
NAC,North America and the Caribbean,VCT,Saint Vincent and the Grenadines,2021,All,Age_all,[All],1027.00000000,100.00000000,732.14974704,923.03820677,
NAC,North America and the Caribbean,VCT,Saint Vincent and the Grenadines,2021,Male,Age_all,[All],590.00000000,100.00000000,867.41991164,1047.58522730,
NAC,North America and the Caribbean,VCT,Saint Vincent and the Grenadines,2021,Female,Age_all,[All],437.00000000,100.00000000,594.20277485,795.28289869,
CSA,Central and South America,VEN,Venezuela,2016,All,Age_all,[All],190474.00000000,100.00000000,716.50613530,638.07702557,
CSA,Central and South America,VEN,Venezuela,2016,Male,Age_all,[All],116060.00000000,100.00000000,947.62662658,783.62228083,
CSA,Central and South America,VEN,Venezuela,2016,Female,Age_all,[All],74414.00000000,100.00000000,514.31767979,494.75610653,
AF,Africa,ZAF,South Africa,2018,All,Age_all,[All],452345.00000000,100.00000000,1054.47679620,782.70512456,
AF,Africa,ZAF,South Africa,2018,Male,Age_all,[All],238543.00000000,100.00000000,1235.79468470,837.13711691,
AF,Africa,ZAF,South Africa,2018,Female,Age_all,[All],213802.00000000,100.00000000,907.14679843,729.76374342,
CSA,Central and South America,ARG,Argentina,2021,All,Age_all,[All],436799.00000000,100.00000000,704.03629835,957.77017612,
CSA,Central and South America,ARG,Argentina,2021,Male,Age_all,[All],227443.00000000,100.00000000,911.80808832,1022.00508250,
CSA,Central and South America,ARG,Argentina,2021,Female,Age_all,[All],206588.00000000,100.00000000,539.27098895,884.69831384,
CSA,Central and South America,ARG,Argentina,2021,Unknown,Age_all,[All],2768.00000000,100.00000000,,,
AS,Asia,ARM,Armenia,2022,All,Age_all,[All],26692.00000000,100.00000000,593.57970953,898.94784843,
AS,Asia,ARM,Armenia,2022,Male,Age_all,[All],13783.00000000,100.00000000,783.50286036,983.60702534,
AS,Asia,ARM,Armenia,2022,Female,Age_all,[All],12909.00000000,100.00000000,452.89313112,823.28961248,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2021,All,Age_all,[All],676.00000000,100.00000000,584.41888979,684.68869960,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2021,Male,Age_all,[All],348.00000000,100.00000000,653.00782978,729.89638827,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2021,Female,Age_all,[All],328.00000000,100.00000000,524.49720042,642.50734574,
EU,Europe,BEL,Belgium,2020,All,Age_all,[All],126896.00000000,100.00000000,418.25931100,1099.75042070,
EU,Europe,BEL,Belgium,2020,Male,Age_all,[All],62208.00000000,100.00000000,514.81098398,1093.12182680,
EU,Europe,BEL,Belgium,2020,Female,Age_all,[All],64688.00000000,100.00000000,336.66407328,1106.20115970,
EU,Europe,BGR,Bulgaria,2021,All,Age_all,[All],148995.00000000,100.00000000,925.93193991,2166.33582890,
EU,Europe,BGR,Bulgaria,2021,Male,Age_all,[All],77299.00000000,100.00000000,1216.04671510,2320.93374200,
EU,Europe,BGR,Bulgaria,2021,Female,Age_all,[All],71696.00000000,100.00000000,700.82575996,2021.18301060,
NAC,North America and the Caribbean,BHS,Bahamas,2015,All,Age_all,[All],2234.00000000,100.00000000,678.98420713,596.99737578,
NAC,North America and the Caribbean,BHS,Bahamas,2015,Male,Age_all,[All],1230.00000000,100.00000000,810.42107540,677.28293908,
NAC,North America and the Caribbean,BHS,Bahamas,2015,Female,Age_all,[All],1004.00000000,100.00000000,565.25078488,521.30929634,
EU,Europe,BIH,Bosnia and Herzegovina,2022,All,Age_all,[All],41277.00000000,100.00000000,597.06848334,1202.04782330,
EU,Europe,BIH,Bosnia and Herzegovina,2022,Male,Age_all,[All],21138.00000000,100.00000000,736.69454997,1254.74580980,
EU,Europe,BIH,Bosnia and Herzegovina,2022,Female,Age_all,[All],20139.00000000,100.00000000,481.77767092,1151.29604410,
NAC,North America and the Caribbean,CAN,Canada,2022,All,Age_all,[All],334081.00000000,100.00000000,389.01247809,870.26506614,
NAC,North America and the Caribbean,CAN,Canada,2022,Male,Age_all,[All],174065.00000000,100.00000000,468.14879327,913.20427860,
NAC,North America and the Caribbean,CAN,Canada,2022,Female,Age_all,[All],160016.00000000,100.00000000,317.67441496,827.91829739,
EU,Europe,CHE,Switzerland,2021,All,Age_all,[All],71192.00000000,100.00000000,305.50439012,816.84411693,
EU,Europe,CHE,Switzerland,2021,Male,Age_all,[All],35107.00000000,100.00000000,366.55165342,811.63865839,
EU,Europe,CHE,Switzerland,2021,Female,Age_all,[All],36085.00000000,100.00000000,250.96842553,821.97297660,
CSA,Central and South America,CHL,Chile,2021,All,Age_all,[All],137629.00000000,100.00000000,468.83690265,716.35651652,
CSA,Central and South America,CHL,Chile,2021,Male,Age_all,[All],73435.00000000,100.00000000,594.75730856,775.01176739,
CSA,Central and South America,CHL,Chile,2021,Female,Age_all,[All],64182.00000000,100.00000000,363.35899859,659.15430817,
CSA,Central and South America,CHL,Chile,2021,Unknown,Age_all,[All],12.00000000,100.00000000,,,
CSA,Central and South America,COL,Colombia,2021,All,Age_all,[All],363089.00000000,100.00000000,621.31554292,708.24738592,
CSA,Central and South America,COL,Colombia,2021,Male,Age_all,[All],205427.00000000,100.00000000,786.26242114,816.11247174,
CSA,Central and South America,COL,Colombia,2021,Female,Age_all,[All],157596.00000000,100.00000000,479.79092693,603.94491040,
CSA,Central and South America,COL,Colombia,2021,Unknown,Age_all,[All],66.00000000,100.00000000,,,
NAC,North America and the Caribbean,CUB,Cuba,2021,All,Age_all,[All],167675.00000000,100.00000000,760.23353197,1481.55445920,
NAC,North America and the Caribbean,CUB,Cuba,2021,Male,Age_all,[All],92014.00000000,100.00000000,924.99896035,1637.86626330,
NAC,North America and the Caribbean,CUB,Cuba,2021,Female,Age_all,[All],75661.00000000,100.00000000,616.71906392,1327.48401240,
AS,Asia,CYP,Cyprus,2021,All,Age_all,[All],7248.00000000,100.00000000,395.54153564,801.14512465,
AS,Asia,CYP,Cyprus,2021,Male,Age_all,[All],3841.00000000,100.00000000,480.78665636,870.81116252,
AS,Asia,CYP,Cyprus,2021,Female,Age_all,[All],3407.00000000,100.00000000,320.36721526,734.86590369,
EU,Europe,DNK,Denmark,2021,All,Age_all,[All],53106.00000000,100.00000000,361.41249180,907.78323355,
EU,Europe,DNK,Denmark,2021,Male,Age_all,[All],27116.00000000,100.00000000,430.17936385,931.64746235,
EU,Europe,DNK,Denmark,2021,Female,Age_all,[All],25990.00000000,100.00000000,301.14188439,884.15434838,
EU,Europe,EST,Estonia,2022,All,Age_all,[All],17157.00000000,100.00000000,517.28041579,1297.89471300,
EU,Europe,EST,Estonia,2022,Male,Age_all,[All],8124.00000000,100.00000000,739.01169374,1293.41431770,
EU,Europe,EST,Estonia,2022,Female,Age_all,[All],9033.00000000,100.00000000,357.14905533,1301.96021910,
EU,Europe,FIN,Finland,2021,All,Age_all,[All],57632.00000000,100.00000000,375.85565216,1040.09787370,
EU,Europe,FIN,Finland,2021,Male,Age_all,[All],29140.00000000,100.00000000,477.66370981,1064.10385860,
EU,Europe,FIN,Finland,2021,Female,Age_all,[All],28492.00000000,100.00000000,288.57566617,1016.64102050,
EU,Europe,FRA,France,2020,All,Age_all,[All],652857.00000000,100.00000000,361.87963890,1000.18673730,
EU,Europe,FRA,France,2020,Male,Age_all,[All],326189.00000000,100.00000000,471.34459233,1032.59674710,
EU,Europe,FRA,France,2020,Female,Age_all,[All],326668.00000000,100.00000000,271.58430986,969.79255955,
CSA,Central and South America,GTM,Guatemala,2021,All,Age_all,[All],118465.00000000,100.00000000,905.50828143,649.12826729,
CSA,Central and South America,GTM,Guatemala,2021,Male,Age_all,[All],66951.00000000,100.00000000,1121.73875300,744.37317321,
CSA,Central and South America,GTM,Guatemala,2021,Female,Age_all,[All],51514.00000000,100.00000000,725.67548992,556.57181839,
EU,Europe,HRV,Croatia,2021,All,Age_all,[All],62712.00000000,100.00000000,621.07505077,1616.71325540,
EU,Europe,HRV,Croatia,2021,Male,Age_all,[All],31137.00000000,100.00000000,805.89435868,1666.90311060,
EU,Europe,HRV,Croatia,2021,Female,Age_all,[All],31575.00000000,100.00000000,474.36247319,1570.09407140,
EU,Europe,HUN,Hungary,2022,All,Age_all,[All],136446.00000000,100.00000000,621.34292094,1420.38643760,
EU,Europe,HUN,Hungary,2022,Male,Age_all,[All],66749.00000000,100.00000000,825.05281380,1458.63330460,
EU,Europe,HUN,Hungary,2022,Female,Age_all,[All],69697.00000000,100.00000000,469.99419384,1385.59346210,
EU,Europe,IRL,Ireland,2020,All,Age_all,[All],32856.00000000,100.00000000,367.17494027,653.21702826,
EU,Europe,IRL,Ireland,2020,Male,Age_all,[All],17051.00000000,100.00000000,435.01520033,684.29049458,
EU,Europe,IRL,Ireland,2020,Female,Age_all,[All],15805.00000000,100.00000000,306.92169637,622.71063714,
AS,Asia,IRN,Iran,2017,All,Age_all,[All],349202.00000000,100.00000000,543.26887167,432.85631857,
AS,Asia,IRN,Iran,2017,Male,Age_all,[All],198797.00000000,100.00000000,572.98995034,487.02091718,
AS,Asia,IRN,Iran,2017,Female,Age_all,[All],150264.00000000,100.00000000,520.65387225,377.02764895,
AS,Asia,IRN,Iran,2017,Unknown,Age_all,[All],141.00000000,100.00000000,,,
EU,Europe,ISL,Iceland,2022,All,Age_all,[All],2692.00000000,100.00000000,375.95515267,779.40201452,
EU,Europe,ISL,Iceland,2022,Male,Age_all,[All],1364.00000000,100.00000000,430.14404504,785.86367224,
EU,Europe,ISL,Iceland,2022,Female,Age_all,[All],1328.00000000,100.00000000,324.38483192,772.84340028,
EU,Europe,ITA,Italy,2020,All,Age_all,[All],746324.00000000,100.00000000,370.75201886,1255.61625420,
EU,Europe,ITA,Italy,2020,Male,Age_all,[All],362662.00000000,100.00000000,464.50254049,1252.36522230,
EU,Europe,ITA,Italy,2020,Female,Age_all,[All],383662.00000000,100.00000000,293.21625388,1258.70489500,
AS,Asia,JPN,Japan,2021,All,Age_all,[All],1439856.00000000,100.00000000,287.26089216,1172.70751660,
AS,Asia,JPN,Japan,2021,Male,Age_all,[All],738141.00000000,100.00000000,384.36090102,1236.69377750,
AS,Asia,JPN,Japan,2021,Female,Age_all,[All],701715.00000000,100.00000000,207.67891263,1112.17664910,
AS,Asia,KOR,South Korea,2021,All,Age_all,[All],317680.00000000,100.00000000,302.50392593,618.85811736,
AS,Asia,KOR,South Korea,2021,Male,Age_all,[All],171967.00000000,100.00000000,408.66186949,672.03217995,
AS,Asia,KOR,South Korea,2021,Female,Age_all,[All],145713.00000000,100.00000000,218.35977278,566.00430455,
AS,Asia,LKA,Sri Lanka,2019,All,Age_all,[All],146397.00000000,100.00000000,574.10840143,686.54489343,
AS,Asia,LKA,Sri Lanka,2019,Male,Age_all,[All],80777.00000000,100.00000000,733.20335486,789.34549219,
AS,Asia,LKA,Sri Lanka,2019,Female,Age_all,[All],65610.00000000,100.00000000,447.56185316,591.59704964,
AS,Asia,LKA,Sri Lanka,2019,Unknown,Age_all,[All],10.00000000,100.00000000,,,
EU,Europe,LTU,Lithuania,2022,All,Age_all,[All],42884.00000000,100.00000000,631.23434769,1514.45885480,
EU,Europe,LTU,Lithuania,2022,Male,Age_all,[All],20457.00000000,100.00000000,895.21954492,1548.35633310,
EU,Europe,LTU,Lithuania,2022,Female,Age_all,[All],22427.00000000,100.00000000,446.72314818,1484.80797860,
EU,Europe,LUX,Luxembourg,2022,All,Age_all,[All],4153.00000000,100.00000000,310.22521723,635.88744807,
EU,Europe,LUX,Luxembourg,2022,Male,Age_all,[All],2070.00000000,100.00000000,376.07585963,629.65013353,
EU,Europe,LUX,Luxembourg,2022,Female,Age_all,[All],2083.00000000,100.00000000,250.99519524,642.20947190,
CSA,Central and South America,MEX,Mexico,2021,All,Age_all,[All],1098301.00000000,100.00000000,841.33516995,843.14625816,
CSA,Central and South America,MEX,Mexico,2021,Male,Age_all,[All],633029.00000000,100.00000000,1065.17170910,993.38077783,
CSA,Central and South America,MEX,Mexico,2021,Female,Age_all,[All],464719.00000000,100.00000000,648.22287344,698.43158548,
CSA,Central and South America,MEX,Mexico,2021,Unknown,Age_all,[All],553.00000000,100.00000000,,,
EU,Europe,MLT,Malta,2020,All,Age_all,[All],4091.00000000,100.00000000,378.02999034,926.52357755,
EU,Europe,MLT,Malta,2020,Male,Age_all,[All],2122.00000000,100.00000000,469.81004541,958.35967844,
EU,Europe,MLT,Malta,2020,Female,Age_all,[All],1969.00000000,100.00000000,297.86273575,894.51614808,
AF,Africa,MUS,Mauritius,2022,All,Age_all,[All],12938.00000000,100.00000000,739.99744438,1024.99586060,
AF,Africa,MUS,Mauritius,2022,Male,Age_all,[All],7105.00000000,100.00000000,926.15473999,1139.01059180,
AF,Africa,MUS,Mauritius,2022,Female,Age_all,[All],5833.00000000,100.00000000,576.92387892,913.60174920,
CSA,Central and South America,NIC,Nicaragua,2021,All,Age_all,[All],35664.00000000,100.00000000,666.15034869,532.10909251,
CSA,Central and South America,NIC,Nicaragua,2021,Male,Age_all,[All],20041.00000000,100.00000000,858.66671397,606.72480318,
CSA,Central and South America,NIC,Nicaragua,2021,Female,Age_all,[All],15618.00000000,100.00000000,518.59136283,459.45645401,
CSA,Central and South America,NIC,Nicaragua,2021,Unknown,Age_all,[All],5.00000000,100.00000000,,,
EU,Europe,NLD,Netherlands,2022,All,Age_all,[All],170112.00000000,100.00000000,384.47445785,961.34735110,
EU,Europe,NLD,Netherlands,2022,Male,Age_all,[All],83749.00000000,100.00000000,442.15985347,952.24266912,
EU,Europe,NLD,Netherlands,2022,Female,Age_all,[All],86363.00000000,100.00000000,333.71158081,970.34429285,
CSA,Central and South America,PAN,Panama,2021,All,Age_all,[All],24663.00000000,100.00000000,499.06314927,562.87927252,
CSA,Central and South America,PAN,Panama,2021,Male,Age_all,[All],14118.00000000,100.00000000,615.46653646,643.89779365,
CSA,Central and South America,PAN,Panama,2021,Female,Age_all,[All],10545.00000000,100.00000000,391.86799444,481.72703596,
EU,Europe,POL,Poland,2021,All,Age_all,[All],519517.00000000,100.00000000,650.16255157,1376.67032740,
EU,Europe,POL,Poland,2021,Male,Age_all,[All],268658.00000000,100.00000000,883.84216299,1471.92038660,
EU,Europe,POL,Poland,2021,Female,Age_all,[All],250859.00000000,100.00000000,467.61348502,1287.44662180,
CSA,Central and South America,PRY,Paraguay,2021,All,Age_all,[All],53075.00000000,100.00000000,856.33774217,735.14766253,
CSA,Central and South America,PRY,Paraguay,2021,Male,Age_all,[All],30242.00000000,100.00000000,1014.05072370,824.60250462,
CSA,Central and South America,PRY,Paraguay,2021,Female,Age_all,[All],22822.00000000,100.00000000,704.07329350,642.47924583,
CSA,Central and South America,PRY,Paraguay,2021,Unknown,Age_all,[All],11.00000000,100.00000000,,,
AS,Asia,SGP,Singapore,2022,All,Age_all,[All],25586.00000000,100.00000000,327.67743200,628.14875336,
AS,Asia,SGP,Singapore,2022,Male,Age_all,[All],13795.00000000,100.00000000,411.38836233,693.14223811,
AS,Asia,SGP,Singapore,2022,Female,Age_all,[All],11791.00000000,100.00000000,257.88223286,566.05123217,
EU,Europe,SRB,Serbia,2022,All,Age_all,[All],109203.00000000,100.00000000,702.12341762,1638.59007700,
EU,Europe,SRB,Serbia,2022,Male,Age_all,[All],54948.00000000,100.00000000,852.38394787,1695.49577240,
EU,Europe,SRB,Serbia,2022,Female,Age_all,[All],54255.00000000,100.00000000,574.77137321,1584.72286850,
EU,Europe,SVK,Slovakia,2021,All,Age_all,[All],73461.00000000,100.00000000,716.79733828,1351.69996130,
EU,Europe,SVK,Slovakia,2021,Male,Age_all,[All],37898.00000000,100.00000000,940.28132169,1425.86091370,
EU,Europe,SVK,Slovakia,2021,Female,Age_all,[All],35563.00000000,100.00000000,541.77368513,1280.71466200,
EU,Europe,SWE,Sweden,2022,All,Age_all,[All],94823.00000000,100.00000000,335.37655388,904.20075788,
EU,Europe,SWE,Sweden,2022,Male,Age_all,[All],47558.00000000,100.00000000,393.62775023,900.80235582,
EU,Europe,SWE,Sweden,2022,Female,Age_all,[All],47265.00000000,100.00000000,283.08938418,907.64620636,
NAC,North America and the Caribbean,USA,United States,2021,All,Age_all,[All],3464231.00000000,100.00000000,564.84691318,1040.57499370,
NAC,North America and the Caribbean,USA,United States,2021,Male,Age_all,[All],1838108.00000000,100.00000000,687.85299651,1115.83460760,
NAC,North America and the Caribbean,USA,United States,2021,Female,Age_all,[All],1626123.00000000,100.00000000,452.13985622,966.86195741,
OA,Oceania,AUS,Australia,2022,All,Age_all,[All],190939.00000000,100.00000000,340.75114760,734.22432297,
OA,Oceania,AUS,Australia,2022,Male,Age_all,[All],99924.00000000,100.00000000,407.84769659,774.17045556,
OA,Oceania,AUS,Australia,2022,Female,Age_all,[All],91015.00000000,100.00000000,279.60446760,694.86089994,
AS,Asia,SAU,Saudi Arabia,2022,All,Age_all,[All],84229.00000000,100.00000000,547.46980152,261.78217128,
AS,Asia,SAU,Saudi Arabia,2022,Male,Age_all,[All],52186.00000000,100.00000000,573.37099854,265.19169687,
AS,Asia,SAU,Saudi Arabia,2022,Female,Age_all,[All],32043.00000000,100.00000000,511.49350000,256.41314950,
